Authors,Title
"361.	Stephane Durocher, Debajyoti Mondal, Md. Saidur Rahman, On graphs that are not PCGs",Theoretical Computer Science
"362.	Yulia A Medvedeva, Abdullah M Khamis, Ivan V Kulakovskiy, Wail Ba-Alawi, Md Shariful I Bhuyan, Hideya Kawaji, Timo Lassmann, Matthias Harbers, Alistair RR Forrest, Vladimir B Bajic",Effects of cytosine methylation on transcription factor binding sites
363.	Mirarab Siavash and Bayzid Md Shamsuzzoha and Boussau Bastien and Warnow Tandy,Statistical binning enables an accurate coalescent-based estimation of the avian tree
"364.	S. Azam, F. T. Zohra and M. M. Islam",A state-of-the-art review on wavelet based image resolution enhancement techniques: performance evaluation criteria and issues
"365.	S. Azam, F. T. Zohra and M. M. Islam",Remote sensing image resolution enlargement algorithm based on wavelet transformation
"366.	Rezwana Reaz, Md. Shamsuzzoha Bayzid, and M. Sohel Rahman",Accurate Phylogenetic Tree Reconstruction from Quartets: A Heuristic Approach
"367.	Md Shamsuzzoha Bayzid, Tyler Hunt and Tandy Warnow",Disk Covering Methods Improve Phylogenomic Analyses
"368.	S. Mirarab, R. Reaz, M. S. Bayzid, T. Zimmermann, S. Swenson and T. Warnow",ASTRAL: genome-scale coalescent-based species tree estimation
"369.	E. D. Jarvis, S. Mirarab, A. J. Aberer, B. Li, P. Houde, C. Li, S. Y. W. Ho, B. C. Faircloth, B. Nabholz, J. T. Howard, A. Suh, C. C. Weber, R. R. da Fonseca, J. Li, F. Zhang, H. Li, L. Zhou, N. Narula, L. Liu, G. Ganapathy, B. Boussau, Md. S. Bayzid, V.",Whole-genome analyses resolve early branches in the tree of life of modern birds
"370.	Rifat Shahriyar, Stephen M. Blackburn, Kathryn S. McKinley",Fast Conservative Garbage Collection
"371.	S.B. Ahsan, S.P Aziz, M. Sohel Rahman",Longest Common Subsequence Problem for Run-Length-Encoded Strings
"372.	Md. Yusuf Sarwar Uddin, Rezwana Rafiq",Citizen Assisted Environmental Pollution Measurement in Developing Cities
"373.	A.K.M. Ashikur Rahman, Xue Liu, Fanxin Kong",A Survey on Geographic Load Balancing based Data Center Power Management in the Smart Grid Environment
"374.	A. H. M. Kamal, Mohammad Mahfuzul Islam",Facilitating and securing offline e-medicine service through image steganography
"375.	M. Tasnim, Shahriar Rouf, M. Sohel Rahman",A CLONALG-based Approach for the Set Covering Problem
"376.	A.H.M.M Rahman, M. Sohel Rahman",Effective Sparse Dynamic Programming Algorithms for Merged and Block Merged LCS Problems
"377.	Dipan Shaw, A. S. Islam, M. Sohel Rahman, Masud Hasan",Protein folding in HP model on hexagonal lattices with diagonals
"378.	M. Crochemore, A. Langiu, M. Sohel Rahman",Indexing a sequence for mapping reads with a single mismatch
"379.	M. Sohel Rahman, M. Kaykobad, J. S. Firoz",New Sufficient Conditions for Hamiltonian Paths
"380.	Pritom Ahmed, Costas Iliopoulos, A. S. Islam, M. Sohel Rahman",The swap matching problem revisited
"381.	M. A. Nayeem, Md. Khaledur Rahman, M. Sohel Rahman",Transit network design by genetic algorithm with elitism
"382.	Abdus Salam Azad, Md. Kamrul Hasan, M. Arif Imtiazur Rahman, Md. Mustafizur Rahman, Nashid Shahriar",Exploring the Behavior and Changing Trends of Rainfall and Temperature Using Statistical Computing Techniques
"383.	D. Zhang , M. M. Islam and G. Lu",Structural image retrieval using automatic image annotation and region based inverted file
"384.	Md. Shamsuzzoha Bayzid, Md. Maksudul Alam, Abdullah Mueen and Md. Saidur Rahman",HMEC: A Heuristic Algorithm for Individual Haplotyping with Minimum Error Correction
,385.	Md. Shamsuzzoha Bayzid and Tandy Warnow
386.	T. Teacher,Design of Control Unit for Low Power ALU with a Barrel Shifter Using Reversible Logic
"387.	Rifat Shahriyar, Stephen M. Blackburn, Xi Yang, Kathryn S. McKinley",Taking Off the Gloves with Reference Counting Immix
"388.	A. H. Rahman, Lior Pachter",CGAL: computing genome assembly likelihoods
"389.	M.T.I Aumi, M.T. Moosa, M. Sohel Rahman",Pattern Matching in Indeterminate and Arc-Annotated Sequences
"390.	T.M. Moosa, Sumaiya Nazeen, M. Sohel Rahman, Rezwana Reaz Rimpi",Inferring Strings from Cover Arrays
"391.	Pritom Ahmed, A. S. Islam, M. Sohel Rahman",A graph-theoretic model to solve the approximate string matching problem allowing for translocations
"392.	Debajyoti Mondal, Rahnuma Islam Nishat, Md. Saidur Rahman, Sue Whitesides",Acyclic coloring with few division vertices
"393.	Md. Manzurul Hasan, Md. Saidur Rahman, Muhammad Rezaul Karim, Box-Rectangular Drawings of Planar Graphs",Jounal of Graph Algorithms and Applications
"394.	Johra Muhammad Moosa, M. Sohel Rahman, F. T. Zohora",Computing a Longest Common Subsequence that is Almost Increasing on Sequences Having No Repeated Elements
"395.	Md. Akkas Ali, Mohammad Mahfuzul Islam",A Biometric Based: 3-D Ear Recognition System Combining Local and Holistic Features
"396.	Deen Mohammad Abdullah, Wali Md Abdullah, M. Sohel Rahman",Improving the Performance of a Genome Sorting Algorithm with Inverted Block-Interchange
"397.	Ahsan Habib, Abu Sayed Md. Latiful Hoque, Md. Russel Hussain",H-HIBASE: Compression Enhancement of HIBASE Technique Using Huffman Coding
"398.	Muhammad Rashed Alam, M. Sohel Rahman",A divide and conquer approach and a work-optimal parallel algorithm for the LIS problem
"399.	Amit Kumar Dutta, Masud Hasan, M. Sohel Rahman",Prefix transpositions on binary and ternary strings
"400.	Md. Iqbal Hossain, Debajyoti Mondal, Md. Saidur Rahman, Sammi Abida Salma, Universal Line-Sets for Drawing Planar 3-Trees",Journal of Graph Algorithms and Applications (JGAA)
"401.	Sammi Abida Salma, Md. Saidur Rahman, Md. Iqbal Hossain",Triangle-Free Outerplanar 3-Graphs are Pairwise Compatibility Graphs
"402.	Debajyoti Mondal, Sudip Biswas, Rahnuma Islam Nishat, Md. Saidur Rahman",Minimum-Segment Convex Drawings of 3-Connected Cubic Plane Graphs
"403.	S Rahman, SM Naim, AA Farooq, M Islam",Combination of Gabor and curvelet texture features for face recognition using principal component analysis
"404.	D. Zhang , M. M. Islam and G. Lu",Rotation invariant curvelet features for region based image retrieval
"405.	D. Zhang , M. M. Islam and G. Lu",A review on automatic image annotation techniques
406.	Md. Shamsuzzoha Bayzid and Tandy Warnow,Estimating Optimal Species Trees from Incomplete Gene Trees under Deep Coalescence
407.	A. B. M. A. A. Islam and V. Raghunathan,QRTT: Stateful Round Trip Time Estimation for Wireless Embedded Systems Using Q-Learning. Embedded Systems Letters (ESL)
"408.	Ahsan Habib, Abu Sayed Md. Latiful Hoque, Muhammad Shahidur Rahman",High Performance Query Operations on Compressed Database
"409.	Akramul Azim, Mohammad Mahfuzul Islam",A Relay Node Based Hybrid Low Energy Adaptive Clustering Hierarchy for Wireless Sensor Networks
"410.	Muhammad Rashed Alam, M. Sohel Rahman",The substring inclusion constraint longest common subsequence problem can be solved in quadratic time
"411.	F. T. Jaigirdar, Mohammad Mahfuzul Islam",Assurance of the Maximum Destruction in Battlefield using Cost-Effective Approximation Techniques
"412.	Debajyoti Mondal, Rahnuma Islam Nishat, Sue Whitesides, Md. Saidur Rahman",Acyclic colorings of graph subdivisions revisited
"413.	Abu Sayed Md. Latiful Hoque, Mohammad Mahfuzul Islam, Md. Iqbal Hossain, Md. Faysal Ahmed",Problem-Based e-Learning and Evaluation System for Database Design and Programming in SQL
"414.	Shihabur Rahman Chowdhury, Md. Mahbubul Hasan, Sumaiya Iqbal, M. Sohel Rahman",Computing a Longest Common Palindromic Subsequence
"415.	Sukarna Barua, Md. Monirul Islam, Xin Yao, Kazuyuki Murase",MWMOTE: Majority Weighted Minority Oversampling Technique for Imbalanced Data Set Learning
"416.	Tanzima Hashem, Lars Kulik, Rui Zhang",Countering Overlapping Rectangle Privacy Attack for Moving kNN Queries
"417.	A. B. M. Alim Al Islam, V. Raghunathan",QRTT: Stateful Round Trip Time Estimation for Wireless Embedded Systems Using Q-Learning
"418.	A. B. M. Alim Al Islam, M. S. Hossain, V. Raghunathan",Dynamic Clustering with Relay Nodes (DCRN): A Clustering Technique to Maximize Stability in Wireless Sensor Networks with Relay Nodes
"419.	Md. Yusuf Sarwar Uddin, Hossein Ahmadi, Tarek Abdelzaher, Robin Kravets",Inter-contact Routing for Energy-constrained Disaster Response Networks
"420.	Sabirat Rubya, Samiul Monir, Hasan Shahid Ferdous",Genetic Approach for a Flexible Cell Phone Keypad with Reduced Keystrokes and Key Jamming for Better Human Technology Interaction
"421.	Mohammed Eunus Ali, E. Tanin, R. Zhang, R. Kotagiri",Probabilistic Voronoi Diagrams for Probabilistic Moving Nearest Neighbor Queries
"422.	Md. Ehtesamul Haque, A.K.M. Ashikur Rahman",On Construction of Interference-Aware k-Fault Resistant Topologies for Wireless Ad hoc networks
"423.	Tanveer Awal, Md. Saidur Rahman",A Linear Algorithm for Resource Four-partitioning Four-connected Planar Graphs
"424.	M. S. Alam, Md. Monirul Islam, Xin Yao, K. Murase",Diversity Guided Evolutionary Programming: A novel approach for continuous optimization
"425.	M. M. Islam, Abu Sayed Md. Latiful Hoque",Automated Essay Scoring Using Generalized Latent Semantic Analysis
"426.	A. Z. M. Shahriar, Md. Shohrab Hossain, M. Atiquzzaman",A Cost Analysis Framework for NEMO Prefix Delegation-based Schemes
"427.	Md. Shohrab Hossain, M. Atiquzzaman, W. Ivancic",Cost and Efficiency Analysis of NEMO Protocol Entities
"428.	T. M. Moosa, M. Sohel Rahman",Sub-quadratic Time and Linear Space Data Structures for Permutation Matching in Binary Strings
"429.	Anupam Das, Mohammad Mahfuzul Islam",SecuredTrust: A dynamic trust computation model for secured communication in multiagent systems
"430.	Sumaiya Nazeen, M. Sohel Rahman, Rezwana Reaz Rimpi",Indeterminate string inference algorithms
"431.	T. M. Moosa, M. Sohel Rahman",Improved Algorithms for the Point-Set Embeddability problem for Plane 3-Trees
"432.	M. Crochemore , C. Iliopoulos, M. Kubica, M. Sohel Rahman",German Tischler and Tomasz Wallen. Improved Algorithms for the Range Next Value Problem and Applications
"433.	J. W. Chan, C. S. Iliopoulos, S. Michalakopoulos, M. Sohel Rahman",Exact and Approximate Rhythm Matching Algorithms
"434.	E. Farhana, M. Sohel Rahman",Doubly-Constrained LCS and Hybrid-Constrained LCS Problems Revisited
"435.	Rahnuma Islam Nishat, Debajyoti Mondal, Md. Saidur Rahman, Point-Set Embeddings of Plane 3-Trees",Computational Geometry: Theory and Application
"436.	Md Shariful Islam Bhuyan, and Xin Gao",A protein-dependent side-chain rotamer library
"437.	S Rahman, SM Naim, AA Farooq, MM Islam",Performance of PCA Based Semi-supervised Learning in Face Recognition Using MPEG-7 Edge Histogram Descriptor.
"438.	F. T. Jaigirdar, Mohammad Mahfuzul Islam, S. K. Huq",Grid Approximation Based Inductive Charger Deployment Technique in Wireless Sensor Networks
"439.	A. A. Rahman Rahman, Mahmuda Naznin",Energy Efficient Multiple Target Tracking Using Target Kinematics
"440.	Md. Mustafizur Rahman, S. M. Ferdous, Syed Ishtiaque Ahmed, Anika Anwar",Speech Development of Autistic Children by Interactive Computer Games
"441.	Tanzima Hashem, Lars Kulik","""Don't Trust Anyone"": Privacy Protection for Location-Based Services"
"442.	S.I. Ahmed, Masud Hasan, M.A. Islam",Cutting a Convex Polyhedron out of a Sphere
"443.	T.C. Biedl,, Masud Hasan, A. Lopez-Ortiz",Reconstructing convex polygons and polyhedra from edge and face counts in orthogonal projections
"444.	T.C. Biedl, Masud Hasan, Alejandro Lopez-Ortiz",Efficient viewpoint selection for silhouettes of convex polyhedra
"445.	J.S. Firoz, Masud Hasan, A. Z. Khan, M. Sohel Rahman",The 1.375 Approximation Algorithm for Sorting by Transpositions Can Run in $O(nlog n)$ Time
"446.	A.K.M. Ashikur Rahman, C. Williamson",Delta-Graphs: Flexible Topology Control in Wireless Ad Hoc Networks
"447.	Syed Rafiul Hussain, Subrata Saha , A.K.M. Ashikur Rahman",SAAMAN: Scalable Address Autoconfiguration in Mobile Ad Hoc Networks
"448.	Md. Anindya Tahsin Prodhan, Rajkumar Das, Md. Humayun Kabir, G. A. Shoja, TTL Based Routing in Opportunistic Networks",Journal of Network and Computer Applications
"449.	Tanveer Awal, M. Mahbubuzzaman, M. A. Kashem",Algorithms for Finding Generalized Coloring of Trees
"450.	M. S. Alam, Md. Monirul Islam, Xin Yao, K. Murase",Recurring Two-Stage Evolutionary Programming: A Novel Approach for Numeric Optimization
"451.	J. Langguth, Md. Mostofa Ali Patwary, F. Manne",Parallel Algorithms for Bipartite Matching Problems on Distributed Memory Computers
"452.	A. N. M. B. Rashid, M. S. Islam, Abu Sayed Md. Latiful Hoque",Dynamic Materialized View Selection Approach for Improving Query Performance
"453.	Md. Shohrab Hossain, M. Atiquzzaman",Asymptotic Scalability Analysis of Mobility Protocols based on Signaling Overhead
"454.	Md. Shohrab Hossain, M. Atiquzzaman, Cost Analysis of Mobility Protocols",Journal of Telecommunication Systems
"455.	Md. Mahbubul Hasan, M. Shahjalal, M. Kaykobad",An in-place heapsort algorithm requiring nlogn+nlog*n?0.546871n comparisons
"456.	Masud Hasan, S. M. S. Hossain, M. M. Rahman, M. Sohel Rahman",Solving Minimum Hitting Set Problem and Generalized Exact Cover Problem with Light Based Devices
"457.	S. B. Ahsan, T. M. Moosa, M. Sohel Rahman, Shampa Shahriyar",Computing a Longest Common Subsequence of two strings when one of them is Run Length Encoded
"458.	Debajyoti Mondal, Rahnuma Islam Nishat, Md. Saidur Rahman, Muhammad Jawaherul Alam, Minimum-Area Drawings of Plane 3-Trees",Journal of Graph Algorithms and Applications
"459.	Md. Rezaul Karim, Muhammad Jawaherul Alam, Md. Saidur Rahman",Straight-line grid drawings of label-constrained outerplanar graphs with O(nlogn) area
"460.	Rahnuma Islam Nishat, Debajyoti Mondal, Md. Saidur Rahman",Visibility Drawings of Plane 3-Trees with Minimum Area
"461.	M. A. Kashem, M. D. Hossain",Design and implementation of a system architecture for large and secured online institutional system
462.	Muhammad Nur Yanhaona,Md. Shamsuzzoha Bayzid and Md. Saidur Rahman
"463.	Rakibul Haque, Mahmuda Naznin",STP: In-network Aggregation through Proximity Queries in Sensor Networks
"464.	Mohammed Eunus Ali, R. Zhang, E. Tanin, L. Kulik",A Motion-Aware Approach for Efficient Evaluation of Continuous Queries on 3D Object Databases
"465.	S.I. Ahmed, M.A. Islam, Masud Hasan",Cutting a cornered convex polygon out of a circle
"466.	M. R. Hassan, Md. Monirul Islam, K. Murase",A New Local Search Based Ant Colony Optimization Algorithm for Solving Combinatorial Optimization Problems
"467.	M. M. Kabir, Md. Monirul Islam, K. Murase",A New Wrapper Feature Selection Approach using Neural Network
"468.	A. B. M. Alim Al Islam, Chowdhury Sayeed Hyder, Md. Humayun Kabir, Mahmuda Naznin",Finding the Optimal Percentage of Cluster Heads from a New and Complete Mathematical Model on LEACH
"469.	A. B. M. Alim Al Islam, Chowdhury Sayeed Hyder, Md. Humayun Kabir, Mahmuda Naznin",Stable Sensor Network (SSN): A Dynamic Clustering Technique for Maximizing Stability in Wireless Sensor Networks
"470.	R Paul, Abu Sayed Md. Latiful Hoque",Optimized Column-Oriented Model: A Storage and Search Efficient Representation of Medical Data
"471.	S. I. Khan, Abu Sayed Md. Latiful Hoque",A New Technique for Database Fragmentation in Distributed Systems
"472.	R. Paul, Abu Sayed Md. Latiful Hoque",Search Efficient Representation of Healthcare Data based on the HL7 RIM
"473.	C. S. Iliopoulos, M. Sohel Rahman, M. Voracek, L. Vagner",Finite Automata Based Algorithms on Subsequences and Supersequences of Degenerate Strings
"474.	Masud Hasan, S. M. S. Hossain, M. M. Rahman, M. Sohel Rahman",Solving the Generalized Subset Sum Problem with a Light Based Device
"475.	T. M. Moosa, M. Sohel Rahman",Indexing permutations for binary strings
"476.	M. Crochemore, C. S. Iliopoulos",Finding patterns in given intervals
"477.	Muhammad Jawaherul Alam, Md. Abul Hassan Samee, Masfhfiqui Rabbi, Md. Saidur Rahman, Minimum-layer upward drawings of trees",Journal of Graph Algorithms and Applications
"478.	Md. Mostofa Ali Patwary, Md. Saidur Rahman, Minimum Face-Spanning Subgraphs of Plane Graphs",AKCE International Journal of Graphs and Combinatorics
"479.	Muhammad Jawaherul Alam, Mashfiqui Rabbi, Md. Saidur Rahman, Md. Rezaul Karim",Upright drawings of graphs on three layers
"480.	Tanveer Awal, Md. Saidur Rahman",A Linear Algorithm for Resource Tripartitioning Triconnected Planar Graphs
"481.	Md Kamrul Hasan, M. Kaykobad, Young-Koo Lee",A comprehensive analysis of degree based condition for Hamiltonian cycles
"482.	Rifat Shahriyar, Md. Faizul Bari, Gourab Kundu, Sheikh Iqbal Ahamed, Md. Mostofa Akbar, Intelligent Mobile Health Monitoring System (IMHMS)",International Journal of Control and Automation (IJCA)
"483.	A.K.M. Ashikur Rahman, M.E. Hoque, F. Rahman, S. K. Kundu, Pawel Gburzynski",Enhanced Partial Dominant Pruning (EPDP) Based Broadcasting in Ad hoc Wireless Networks
"484.	Salmin Sultana, Rezwana Karim, Rifat Shahriyar, Md. Mostofa Akbar, and Sheikh Iqbal Ahamed",Ubiquitous Secretary: A Ubiquitous Computing Application based on Web Services Architecture
"485.	S.I. Ahmed, Masud Hasan, M.A. Islam, Cutting a Convex Polygon Out of a Circle",International Journal of Recent Trends in Engineering
"486.	A.K.M. Ashikur Rahman, M. Ahmed , S. Zerin",Analysis of Minimum-Energy Path-Preserving Graphs for Ad-hoc Wireless Networks
"487.	Md. Monirul Islam, M. Abdus, M. F. Amin, Xin Yao, K. Murase",A New Adaptive Merging and Growing Algorithm for Designing Artificial Neural Network
"488.	M. F. Amin, Md. Monirul Islam, K. Murase",Ensemble of Single-Layered Complex-Valued Neural Networks for Classification Tasks
"489.	Mashud Hyder, Md. Monirul Islam, M. A. H. Akhand, K. Murase",Symmetry axis based object recognitioon under translation
"490.	M. A. H. Akhand, Md. Monirul Islam, K. Murase",Comparative Study of Data Sampling Techniques for Constructing Neural Network Ensembles
"491.	Md. Monirul Islam, Md. Abdus Sattar, M. F. Amin, Xin Yao, K. Murase",A New Constructive Algorithm for Architectural and Functional Adaptation of Artificial Neural Network
"492.	M. A. H. Akhand, Md. Monirul Islam, K. Murase",Progressive Interactive Training: A Sequential Neural Network Ensemble Learning Method
"493.	S. M. Farhad, Md. Mostofa Akbar, Md. Humayun Kabir",A Multicast video-on-demand service in an enterprise network with client-assisted patching
"494.	Abu Sayed Md. Latiful Hoque, M. S. Arefin",Multilingual Data Management In Database Environment
"495.	M. M. Bhuiyan, Abu Sayed Md. Latiful Hoque",High Performance SQL Queries on Compressed Relational Database
"496.	C. S. Iliopoulos, M. Sohel Rahman",Indexing factors with gaps
"497.	C. S. Iliopoulos, M. Sohel Rahman",A New Efficient Algorithm for Computing the Longest Common Subsequence
"498.	C. S. Iliopoulos, M. Sohel Rahman, W. Rytter",Algorithms for two versions of LCS problem for indeterminate strings
"499.	Muhammad Abdullah Adnan, Md. Saidur Rahman",Generating all distributions of objects to bins
"500.	Md. Rezaul Karim, Kaiser Md. Nahiduzzaman, Md. Saidur Rahman",A Linear-Time Algorithm for k-Partitioning Doughnut Graphs
"501.	Md. Saidur Rahman, Kazuyuki Miura, Takao Nishizeki",Octagonal drawings of plane graphs with prescribed face areas
"502.	Muhammad Nur Yanhaona, K. S. M. Tozammel Hossain, Md. Saidur Rahman, Pairwise compatibility graphs",Journal of Applied Mathematics and Computing
"503.	Md. Rezaul Karim, Md. Saidur Rahman",On a class of planar graphs with straight-line grid drawings on linear area
"504.	A. H. Rahman, Swakkhar Shatabda, Masud Hasan",An approximation algorithm for sorting by reversals and transpositions
"505.	Masud Hasan, A Lubiw, Equiprojective polyhedra",Computational Geometry: Theory and Applications
"506.	X. Yao, Md. Monirul Islam",Evolving artificial neural network ensembles
"507.	Md. Monirul Islam, X. Yao, S.M. S. Nirjon, M. A. Islam, K. Murase",Bagging and Boosting Negatively Correlated Neural Network
"508.	Rifat Shahriyar, Enamul Hoque, Iftekhar Naim, S M Sohan, Md. Mostofa Akbar and Masud Khan",Remote Controlling of Home Appliances using Mobile Telephony
"509.	A. Z. M. Shahriar, Md. Mostofa Akbar, M. Sohel Rahman, M. A. H. Newton",A Multiprocessor based Heuristic for Multi-dimensional Multiple-Choice Knapsack Problem
"510.	C. S. Iliopoulos, M. Sohel Rahman",New efficient algorithms for the LCS and constrained LCS problems
"511.	C. S. Iliopoulos, M. Sohel Rahman",Faster index for property matching
"512.	C. S. Iliopoulos, L. Mouchard, M. Sohel Rahman",A new approach to pattern matching in degenerate DNA/RNA sequences and distributed pattern matching
"513.	M. Christodoulakis, C. S. Iliopoulos, M. Sohel Rahman, W. F. Smyth",Identifying rhythms in musical texts
"514.	C. S. Iliopoulos, M. Sohel Rahman",Algorithms for computing variants of the longest common subsequence problem
"515.	M. R. Rahman, Md. A. Kashem, Md. Ehtesamul Haque",An Efficient On-Line Algorithm for Edge-Ranking of Trees
"516.	Mohammad Mahfuzul Islam, M. Murshed",Parametric mobility support dynamic resource reservation and call admission control scheme for cellular multimedia communications
"517.	Reaz Ahmed, Noura Limam, J. Xiao, Y. Iraqi",Resource and service discovery in large-scale multi-domain networks
"518.	Suman Ahmmed, K. Abdullah-Al-Mamun, Md. Monirul Islam",A Novel Algorithm For Designing Three Layered Artificial Neural Networks
"519.	D.T. Ahmed, M. Kabir, Md. Mostofa Akbar",Admission Control Algorithm for Multimedia Server: A Hibrid Approach
"520.	Md. Monirul Islam, M. Murshed",Parametric mobility support dynamic resource reservation and call admission control scheme for cellular multimedia communications
"521.	F. H. Siddiqui, Abu Sayed Md. Latiful Hoque",PIR with P-Cache: A New Private Information Retrieval Protocol With Improved Performance
"522.	Muhammad Abdullah Adnan, Md. Saidur Rahman",Efficient generation of evolutionary trees
"523.	Muhammad Abdullah Adnan, Md. Saidur Rahman",Distribution of distinguishable objects to bins: generating all distributions
"524.	Avijit Datta, Moazzem Hossain , M. Kaykobad",A MODIFIED ALGORITHM FOR RANKING PLAYERS OF A ROUND-ROBIN TOURNAMENT
"525.	M.A.H. Akhand, Md. Monirul Islam, K. Murase",A hybrid sequential and simultaneous training algorithm for constructing neural network ensembles
"526.	S. M. Kamruzzaman, Md. Monirul Islam",An Algorithm to Extract Rules from Artificial Neural Networks for Medical Diagnosis Problems
"527.	Md. Humayun Kabir, E. G. Manning, G. C. Shoja",A Scalable Multimedia Streaming Scheme with CBR-transmission of VBR-encoded Videos over the Internet
"528.	Mohammad Mahfuzul Islam, M. Murshed",An adaptive Min-max scheme for resource allocation in cellular multimedia networks
"529.	S. Asaduzzaman, M. Maheswaran",Utilizing Unreliable Public Resources for Higher Profit and Better SLA Compliance in Computing Utilities
"530.	Asif-ul Haque, Mohammad Saifur Rahman, Mehedi Bakht, M. Kaykobad, Drawing lines by uniform packing",International journal of Computers and Graphics
"531.	T. Mesbaul Islam , M. Kaykobad",Worst-case Analysis of Generalized Heapsort Algorithm
"532.	R. Bernazzani, E. Murelli, G. Zanrei, T. Arvanitis, M. A. Kashem Mia, K. A. Bhuiyan",E-health & learning: health informatics training courses for practitioners in Bangladesh (e-HL-HIC)
"533.	N. Limam, J. Ziembicki, Reaz Ahmed, Y. Iraqi, T. Li, R. Boutaba",OSDA: Open Service Discovery Architecture for Efficient Cross-domain Service Provisioning
"534.	M. S. Hosain, M. A. H. Newton, Multi-key Index for Distributed Database Systems",International Journal of Software Engineering & Knowledge Engineering (IJSEKE)
"535.	M. S. Hosain, M. A. H. Newton, M. M. Rahman",Performance Analysis of Global Index in Distributed Environment
"536.	Md. Monirul Islam, K. Murase",Chaotic Dynamics of a Behavior based Miniature Mobile Robot: Effects of Environment and Control Network
"537.	S.M. Kamruzzaman, Md. Monirul Islam",Extraction of symbolic rules from artificial neural networks
"538.	S.M. Masum, M. A. Mamun, Md. Mostofa Akbar",A Fault Tolerant Ring Based Algorithm for Achieving Mutual Exclusion in Distributed Systems
"539.	Md. Saidur Rahman, N. Egi, Takao Nishizeki",No-bend orthogonal drawings of subdivisions of planar triconnected cubic graphs
"540.	M. Sohel Rahman, M. Kaykobad",Complexities of some interesting problems on spanning trees
"541.	Md. Mostofa Akbar, Eric G. Manning, M. Sohel Rahman, M. Kaykobad",Optimal Server Selection for Content Routing
"542.	M. Sohel Rahman, M. Kaykobad",On Hamiltonian cycles and Hamiltonian paths
"543.	B. M. Alom, Abu Sayed Md. Latiful Hoque",Performance Evaluation of Indexing of XML Data Using Bitmap
"544.	P. P. Mitra, M. A. Abedin, and M. A. Kashem",Algorithms for solving the symmetry number problem on trees
"545.	M. A. Kashem, andM. Z. Rahman",An optimal parallel algorithm for c-vertex-ranking of trees
"546.	Mohammad Mahfuzul Islam, M. Murshed",Velocity and call duration support for QoS provision in mobile wireless networks
"547.	Takao Nishizeki, Kazuyuki Miura, Md. Saidur Rahman, Algorithms for drawing plane graphs","IEICE Transactions on Information and Systems,"
"548.	Mohammad Mursalin Akon, Shah Asaduzzaman, Md. Saidur Rahman, Mitsuji Matsumoto",Proposal for st-routing protocol
"549.	Md. Saidur Rahman, Takao Nishizeki, Shubhashis Ghosh",Rectangular drawings of planar graphs
"550.	M. Sohel Rahman, M. Kaykobad",Independence Number and Degree Bounded Spanning Tree
"551.	Adib Hassan Manob, Tarique Mesbaul Islam, M Tanvir Parvez , M. Kaykobad, Search Trees and Stirling Numbers",Computers and Mathematics with Applications
"552.	T. Imam, M. Kaykobad",Symbolic Substitution Based Canonical Recoding Algorithms
"553.	Md. Mostofa Akbar, M. Sohel Rahman, M. Kaykobad, G Manning, GC Shoja",Solving the Multidimensional Multiple-choice Knapsack Problem by constructing convex hulls
"554.	Masud Hasan, Md. Saidur Rahman, Takao Nishizeki",A linear algorithm for compact box-drawing of trees
"555.	Md. Saidur Rahman, Takao Nishizeki, Mahmuda Naznin, Orthogonal Drawings of Plane Graphs",Journal of Graph Algorithms and Applications (JGAA)
"556.	MZ Rahman, RA Chowdhury, M. Kaykobad, Improvements in Double-ended Priority Queues",International Journal of Computer Mathematics
"557.	M Abdul Mannan, M. Kaykobad, Block Huffman Coding",Computers and Mathematics with Applications
"558.	Mustaq Ahmed, Rezaul Alam Chowdhury , M. Kaykobad, A New String Matching Algorithm",International Journal of Computer Mathematics
"559.	M. M. Asaduzzaman , Muhammad Masroor Ali",A knowledge based approach to Bangla-English machine translation for simple assertive sentences
"560.	Md. Monirul Islam, K. Murase",Incremental Evolution with Learning to Develop the Control System of Autonomous Robots for Complex Task
"561.	S. Khan, K. Li, E. Manning, Md. Mostofa Akbar",olving the Knapsack Problem for Adaptive Multimedia System
"562.	Md. Saidur Rahman, Shin-ichi Nakano , Takao Nishizeki",Rectangular drawings of plane graphs without designated corners
"563.	M Manzur Murshed, M. Kaykobad, SM Rahman",A Linguistically Sortable Bengali Coding System and Its Applications in Spell Checking - A Case Study of Multilingual Applications
"564.	RA Chowdhury, MZ Rahman, M. Kaykobad",On the bounds of min-max pair heap construction
565.	Abu Sayed Md. Latiful Hoque,Storage and Querying of High Dimensional Sparsely Populated Data in Compressed Representation
"566.	J. Wilson, Abu Sayed Md. Latiful Hoque, D. R. McGregor",Database Compression using an Off-line Dictionary Method
"567.	Muhammad Masroor Ali, M. B. Hossain",Recognition of handwritten Bangla numeral by boundary line matching
"568.	Mohammad Mahfuzul Islam, M. R. M Khondoker, C. M. Rahman",Application of artificial intelligence techniques in automatic hull form generation
"569.	M. M. Masud, C. M. Rahman","""Extending the Knowledge Intensive Genetic Algorithm Based Supervised Concept Learner to Adopt Continuous Attributes"
"570.	M. Mashnad, M. M. Masud",Simulation of the Stochastic Response of Offshore Platform to Wave Forces
"571.	Md. Monirul Islam, K. Murase",A New Crossover Operator and Its Application to Artificial Neural Networks Evolution
"572.	Md. Monirul Islam, K. Murase",A New algorithm to Design Compact Two-Hidden Layer Artificial Neural Networks
