Author Name,Author ID
,BUET_
"""Cooling energy integration in SimGrid","BUET_""Cooling_energy_integration_in_SimGrid"
"""μ""SETL: A Set Based Programming Abstraction for Wireless Sensor Networks","BUET_""μ""SETL:_A_Set_Based_Programming_Abstraction_for_Wireless_Sensor_Networks"
1.	Zarif Ikram,BUET_1.	Zarif_Ikram
37.	Ahmmed S,BUET_37.	Ahmmed_S
370.	Rifat Shahriyar,BUET_370.	Rifat_Shahriyar
371.	S.B. Ahsan,BUET_371.	S.B._Ahsan
372.	Md. Yusuf Sarwar Uddin,BUET_372.	Md._Yusuf_Sarwar_Uddin
373.	A.K.M. Ashikur Rahman,BUET_373.	A.K.M._Ashikur_Rahman
374.	A. H. M. Kamal,BUET_374.	A._H._M._Kamal
375.	M. Tasnim,BUET_375.	M._Tasnim
376.	A.H.M.M Rahman,BUET_376.	A.H.M.M_Rahman
377.	Dipan Shaw,BUET_377.	Dipan_Shaw
378.	M. Crochemore,BUET_378.	M._Crochemore
379.	M. Sohel Rahman,BUET_379.	M._Sohel_Rahman
380.	Pritom Ahmed,BUET_380.	Pritom_Ahmed
381.	M. A. Nayeem,BUET_381.	M._A._Nayeem
382.	Abdus Salam Azad,BUET_382.	Abdus_Salam_Azad
383.	D. Zhang,BUET_383.	D._Zhang
384.	Md. Shamsuzzoha Bayzid,BUET_384.	Md._Shamsuzzoha_Bayzid
386.	T. Teacher,BUET_386.	T._Teacher
387.	Rifat Shahriyar,BUET_387.	Rifat_Shahriyar
388.	A. H. Rahman,BUET_388.	A._H._Rahman
389.	M.T.I Aumi,BUET_389.	M.T.I_Aumi
390.	T.M. Moosa,BUET_390.	T.M._Moosa
391.	Pritom Ahmed,BUET_391.	Pritom_Ahmed
392.	Debajyoti Mondal,BUET_392.	Debajyoti_Mondal
393.	Md. Manzurul Hasan,BUET_393.	Md._Manzurul_Hasan
394.	Johra Muhammad Moosa,BUET_394.	Johra_Muhammad_Moosa
395.	Md. Akkas Ali,BUET_395.	Md._Akkas_Ali
396.	Deen Mohammad Abdullah,BUET_396.	Deen_Mohammad_Abdullah
397.	Ahsan Habib,BUET_397.	Ahsan_Habib
398.	Muhammad Rashed Alam,BUET_398.	Muhammad_Rashed_Alam
399.	Amit Kumar Dutta,BUET_399.	Amit_Kumar_Dutta
4.	Abrar Rahman Abir,BUET_4.	Abrar_Rahman_Abir
40.	Sanzana Karim Lora,BUET_40.	Sanzana_Karim_Lora
400.	Md. Iqbal Hossain,BUET_400.	Md._Iqbal_Hossain
401.	Sammi Abida Salma,BUET_401.	Sammi_Abida_Salma
402.	Debajyoti Mondal,BUET_402.	Debajyoti_Mondal
403.	S Rahman,BUET_403.	S_Rahman
404.	D. Zhang,BUET_404.	D._Zhang
405.	D. Zhang,BUET_405.	D._Zhang
406.	Md. Shamsuzzoha Bayzid and Tandy Warnow,BUET_406.	Md._Shamsuzzoha_Bayzid_and_Tandy_Warnow
407.	A. B. M. A. A. Islam and V. Raghunathan,BUET_407.	A._B._M._A._A._Islam_and_V._Raghunathan
408.	Ahsan Habib,BUET_408.	Ahsan_Habib
409.	Akramul Azim,BUET_409.	Akramul_Azim
41.	Shuha Nabila,BUET_41.	Shuha_Nabila
410.	Muhammad Rashed Alam,BUET_410.	Muhammad_Rashed_Alam
411.	F. T. Jaigirdar,BUET_411.	F._T._Jaigirdar
412.	Debajyoti Mondal,BUET_412.	Debajyoti_Mondal
413.	Abu Sayed Md. Latiful Hoque,BUET_413.	Abu_Sayed_Md._Latiful_Hoque
414.	Shihabur Rahman Chowdhury,BUET_414.	Shihabur_Rahman_Chowdhury
415.	Sukarna Barua,BUET_415.	Sukarna_Barua
416.	Tanzima Hashem,BUET_416.	Tanzima_Hashem
417.	A. B. M. Alim Al Islam,BUET_417.	A._B._M._Alim_Al_Islam
418.	A. B. M. Alim Al Islam,BUET_418.	A._B._M._Alim_Al_Islam
419.	Md. Yusuf Sarwar Uddin,BUET_419.	Md._Yusuf_Sarwar_Uddin
42.	Md Ashiqur Rahman,BUET_42.	Md_Ashiqur_Rahman
420.	Sabirat Rubya,BUET_420.	Sabirat_Rubya
421.	Mohammed Eunus Ali,BUET_421.	Mohammed_Eunus_Ali
422.	Md. Ehtesamul Haque,BUET_422.	Md._Ehtesamul_Haque
423.	Tanveer Awal,BUET_423.	Tanveer_Awal
424.	M. S. Alam,BUET_424.	M._S._Alam
425.	M. M. Islam,BUET_425.	M._M._Islam
426.	A. Z. M. Shahriar,BUET_426.	A._Z._M._Shahriar
427.	Md. Shohrab Hossain,BUET_427.	Md._Shohrab_Hossain
428.	T. M. Moosa,BUET_428.	T._M._Moosa
429.	Anupam Das,BUET_429.	Anupam_Das
43.	Ishrat Jahan,BUET_43.	Ishrat_Jahan
430.	Sumaiya Nazeen,BUET_430.	Sumaiya_Nazeen
431.	T. M. Moosa,BUET_431.	T._M._Moosa
432.	M. Crochemore,BUET_432.	M._Crochemore
433.	J. W. Chan,BUET_433.	J._W._Chan
434.	E. Farhana,BUET_434.	E._Farhana
435.	Rahnuma Islam Nishat,BUET_435.	Rahnuma_Islam_Nishat
436.	Md Shariful Islam Bhuyan,BUET_436.	Md_Shariful_Islam_Bhuyan
437.	S Rahman,BUET_437.	S_Rahman
438.	F. T. Jaigirdar,BUET_438.	F._T._Jaigirdar
439.	A. A. Rahman Rahman,BUET_439.	A._A._Rahman_Rahman
44.	Rudaiba Adnin,BUET_44.	Rudaiba_Adnin
440.	Md. Mustafizur Rahman,BUET_440.	Md._Mustafizur_Rahman
441.	Tanzima Hashem,BUET_441.	Tanzima_Hashem
442.	S.I. Ahmed,BUET_442.	S.I._Ahmed
443.	T.C. Biedl,BUET_443.	T.C._Biedl
444.	T.C. Biedl,BUET_444.	T.C._Biedl
445.	J.S. Firoz,BUET_445.	J.S._Firoz
446.	A.K.M. Ashikur Rahman,BUET_446.	A.K.M._Ashikur_Rahman
447.	Syed Rafiul Hussain,BUET_447.	Syed_Rafiul_Hussain
448.	Md. Anindya Tahsin Prodhan,BUET_448.	Md._Anindya_Tahsin_Prodhan
449.	Tanveer Awal,BUET_449.	Tanveer_Awal
45.	J. Noor,BUET_45.	J._Noor
450.	M. S. Alam,BUET_450.	M._S._Alam
451.	J. Langguth,BUET_451.	J._Langguth
452.	A. N. M. B. Rashid,BUET_452.	A._N._M._B._Rashid
453.	Md. Shohrab Hossain,BUET_453.	Md._Shohrab_Hossain
454.	Md. Shohrab Hossain,BUET_454.	Md._Shohrab_Hossain
455.	Md. Mahbubul Hasan,BUET_455.	Md._Mahbubul_Hasan
456.	Masud Hasan,BUET_456.	Masud_Hasan
457.	S. B. Ahsan,BUET_457.	S._B._Ahsan
458.	Debajyoti Mondal,BUET_458.	Debajyoti_Mondal
459.	Md. Rezaul Karim,BUET_459.	Md._Rezaul_Karim
46.	Sarfaraz Newaz,BUET_46.	Sarfaraz_Newaz
460.	Rahnuma Islam Nishat,BUET_460.	Rahnuma_Islam_Nishat
461.	M. A. Kashem,BUET_461.	M._A._Kashem
462.	Muhammad Nur Yanhaona,BUET_462.	Muhammad_Nur_Yanhaona
463.	Rakibul Haque,BUET_463.	Rakibul_Haque
464.	Mohammed Eunus Ali,BUET_464.	Mohammed_Eunus_Ali
465.	S.I. Ahmed,BUET_465.	S.I._Ahmed
466.	M. R. Hassan,BUET_466.	M._R._Hassan
467.	M. M. Kabir,BUET_467.	M._M._Kabir
468.	A. B. M. Alim Al Islam,BUET_468.	A._B._M._Alim_Al_Islam
469.	A. B. M. Alim Al Islam,BUET_469.	A._B._M._Alim_Al_Islam
47.	Md Shamsuzzoha Bayzid,BUET_47.	Md_Shamsuzzoha_Bayzid
470.	R Paul,BUET_470.	R_Paul
471.	S. I. Khan,BUET_471.	S._I._Khan
472.	R. Paul,BUET_472.	R._Paul
473.	C. S. Iliopoulos,BUET_473.	C._S._Iliopoulos
474.	Masud Hasan,BUET_474.	Masud_Hasan
475.	T. M. Moosa,BUET_475.	T._M._Moosa
476.	M. Crochemore,BUET_476.	M._Crochemore
477.	Muhammad Jawaherul Alam,BUET_477.	Muhammad_Jawaherul_Alam
478.	Md. Mostofa Ali Patwary,BUET_478.	Md._Mostofa_Ali_Patwary
479.	Muhammad Jawaherul Alam,BUET_479.	Muhammad_Jawaherul_Alam
48.	Punam Biswas,BUET_48.	Punam_Biswas
480.	Tanveer Awal,BUET_480.	Tanveer_Awal
481.	Md Kamrul Hasan,BUET_481.	Md_Kamrul_Hasan
482.	Rifat Shahriyar,BUET_482.	Rifat_Shahriyar
483.	A.K.M. Ashikur Rahman,BUET_483.	A.K.M._Ashikur_Rahman
484.	Salmin Sultana,BUET_484.	Salmin_Sultana
485.	S.I. Ahmed,BUET_485.	S.I._Ahmed
486.	A.K.M. Ashikur Rahman,BUET_486.	A.K.M._Ashikur_Rahman
487.	Md. Monirul Islam,BUET_487.	Md._Monirul_Islam
488.	M. F. Amin,BUET_488.	M._F._Amin
489.	Mashud Hyder,BUET_489.	Mashud_Hyder
49.	Tanzima Hashem,BUET_49.	Tanzima_Hashem
490.	M. A. H. Akhand,BUET_490.	M._A._H._Akhand
491.	Md. Monirul Islam,BUET_491.	Md._Monirul_Islam
492.	M. A. H. Akhand,BUET_492.	M._A._H._Akhand
493.	S. M. Farhad,BUET_493.	S._M._Farhad
494.	Abu Sayed Md. Latiful Hoque,BUET_494.	Abu_Sayed_Md._Latiful_Hoque
495.	M. M. Bhuiyan,BUET_495.	M._M._Bhuiyan
496.	C. S. Iliopoulos,BUET_496.	C._S._Iliopoulos
497.	C. S. Iliopoulos,BUET_497.	C._S._Iliopoulos
498.	C. S. Iliopoulos,BUET_498.	C._S._Iliopoulos
499.	Muhammad Abdullah Adnan,BUET_499.	Muhammad_Abdullah_Adnan
5.	Rabina Awal,BUET_5.	Rabina_Awal
50.	Nenad Radosevic,BUET_50.	Nenad_Radosevic
500+ Language Pairs,BUET_500+_Language_Pairs
500.	Md. Rezaul Karim,BUET_500.	Md._Rezaul_Karim
501.	Md. Saidur Rahman,BUET_501.	Md._Saidur_Rahman
502.	Muhammad Nur Yanhaona,BUET_502.	Muhammad_Nur_Yanhaona
503.	Md. Rezaul Karim,BUET_503.	Md._Rezaul_Karim
504.	A. H. Rahman,BUET_504.	A._H._Rahman
505.	Masud Hasan,BUET_505.	Masud_Hasan
506.	X. Yao,BUET_506.	X._Yao
507.	Md. Monirul Islam,BUET_507.	Md._Monirul_Islam
508.	Rifat Shahriyar,BUET_508.	Rifat_Shahriyar
509.	A. Z. M. Shahriar,BUET_509.	A._Z._M._Shahriar
51.	Fariha Tabassum Islam,BUET_51.	Fariha_Tabassum_Islam
510.	C. S. Iliopoulos,BUET_510.	C._S._Iliopoulos
511.	C. S. Iliopoulos,BUET_511.	C._S._Iliopoulos
512.	C. S. Iliopoulos,BUET_512.	C._S._Iliopoulos
513.	M. Christodoulakis,BUET_513.	M._Christodoulakis
514.	C. S. Iliopoulos,BUET_514.	C._S._Iliopoulos
515.	M. R. Rahman,BUET_515.	M._R._Rahman
516.	Mohammad Mahfuzul Islam,BUET_516.	Mohammad_Mahfuzul_Islam
517.	Reaz Ahmed,BUET_517.	Reaz_Ahmed
518.	Suman Ahmmed,BUET_518.	Suman_Ahmmed
519.	D.T. Ahmed,BUET_519.	D.T._Ahmed
52.	Md Abdullah Al Alamin,BUET_52.	Md_Abdullah_Al_Alamin
520.	Md. Monirul Islam,BUET_520.	Md._Monirul_Islam
521.	F. H. Siddiqui,BUET_521.	F._H._Siddiqui
522.	Muhammad Abdullah Adnan,BUET_522.	Muhammad_Abdullah_Adnan
523.	Muhammad Abdullah Adnan,BUET_523.	Muhammad_Abdullah_Adnan
524.	Avijit Datta,BUET_524.	Avijit_Datta
525.	M.A.H. Akhand,BUET_525.	M.A.H._Akhand
526.	S. M. Kamruzzaman,BUET_526.	S._M._Kamruzzaman
527.	Md. Humayun Kabir,BUET_527.	Md._Humayun_Kabir
528.	Mohammad Mahfuzul Islam,BUET_528.	Mohammad_Mahfuzul_Islam
529.	S. Asaduzzaman,BUET_529.	S._Asaduzzaman
53.	Md Jahidul Islam,BUET_53.	Md_Jahidul_Islam
530.	Asif-ul Haque,BUET_530.	Asif-ul_Haque
531.	T. Mesbaul Islam,BUET_531.	T._Mesbaul_Islam
532.	R. Bernazzani,BUET_532.	R._Bernazzani
533.	N. Limam,BUET_533.	N._Limam
534.	M. S. Hosain,BUET_534.	M._S._Hosain
535.	M. S. Hosain,BUET_535.	M._S._Hosain
536.	Md. Monirul Islam,BUET_536.	Md._Monirul_Islam
537.	S.M. Kamruzzaman,BUET_537.	S.M._Kamruzzaman
538.	S.M. Masum,BUET_538.	S.M._Masum
539.	Md. Saidur Rahman,BUET_539.	Md._Saidur_Rahman
54.	Minaoar Hossain Tanzil,BUET_54.	Minaoar_Hossain_Tanzil
540.	M. Sohel Rahman,BUET_540.	M._Sohel_Rahman
541.	Md. Mostofa Akbar,BUET_541.	Md._Mostofa_Akbar
542.	M. Sohel Rahman,BUET_542.	M._Sohel_Rahman
543.	B. M. Alom,BUET_543.	B._M._Alom
544.	P. P. Mitra,BUET_544.	P._P._Mitra
545.	M. A. Kashem,BUET_545.	M._A._Kashem
546.	Mohammad Mahfuzul Islam,BUET_546.	Mohammad_Mahfuzul_Islam
547.	Takao Nishizeki,BUET_547.	Takao_Nishizeki
548.	Mohammad Mursalin Akon,BUET_548.	Mohammad_Mursalin_Akon
549.	Md. Saidur Rahman,BUET_549.	Md._Saidur_Rahman
55.	Ammar Sohail,BUET_55.	Ammar_Sohail
550.	M. Sohel Rahman,BUET_550.	M._Sohel_Rahman
551.	Adib Hassan Manob,BUET_551.	Adib_Hassan_Manob
552.	T. Imam,BUET_552.	T._Imam
553.	Md. Mostofa Akbar,BUET_553.	Md._Mostofa_Akbar
554.	Masud Hasan,BUET_554.	Masud_Hasan
555.	Md. Saidur Rahman,BUET_555.	Md._Saidur_Rahman
556.	MZ Rahman,BUET_556.	MZ_Rahman
557.	M Abdul Mannan,BUET_557.	M_Abdul_Mannan
558.	Mustaq Ahmed,BUET_558.	Mustaq_Ahmed
559.	M. M. Asaduzzaman,BUET_559.	M._M._Asaduzzaman
56.	Nur Al Hasan Haldar,BUET_56.	Nur_Al_Hasan_Haldar
560.	Md. Monirul Islam,BUET_560.	Md._Monirul_Islam
561.	S. Khan,BUET_561.	S._Khan
562.	Md. Saidur Rahman,BUET_562.	Md._Saidur_Rahman
563.	M Manzur Murshed,BUET_563.	M_Manzur_Murshed
564.	RA Chowdhury,BUET_564.	RA_Chowdhury
565.	Abu Sayed Md. Latiful Hoque,BUET_565.	Abu_Sayed_Md._Latiful_Hoque
566.	J. Wilson,BUET_566.	J._Wilson
567.	Muhammad Masroor Ali,BUET_567.	Muhammad_Masroor_Ali
568.	Mohammad Mahfuzul Islam,BUET_568.	Mohammad_Mahfuzul_Islam
569.	M. M. Masud,BUET_569.	M._M._Masud
57.	Nabil Ibtehaz,BUET_57.	Nabil_Ibtehaz
570.	M. Mashnad,BUET_570.	M._Mashnad
571.	Md. Monirul Islam,BUET_571.	Md._Monirul_Islam
572.	Md. Monirul Islam,BUET_572.	Md._Monirul_Islam
573.	Md. Monirul Islam,BUET_573.	Md._Monirul_Islam
574.	Md. Monirul Islam,BUET_574.	Md._Monirul_Islam
575.	F Ahmed,BUET_575.	F_Ahmed
576.	M. A. Kashem,BUET_576.	M._A._Kashem
577.	Rezaul Alam Chowdhury,BUET_577.	Rezaul_Alam_Chowdhury
578.	Md. Saidur Rahman,BUET_578.	Md._Saidur_Rahman
579.	Rezaul Alam Chowdhury,BUET_579.	Rezaul_Alam_Chowdhury
58.	Mohimenul Kabir,BUET_58.	Mohimenul_Kabir
580.	Abu Wasif,BUET_580.	Abu_Wasif
581.	Abu Wasif,BUET_581.	Abu_Wasif
582.	M. M. H. Rahman,BUET_582.	M._M._H._Rahman
583.	M. A. S. Kamal,BUET_583.	M._A._S._Kamal
584.	Suman Kumar Nath,BUET_584.	Suman_Kumar_Nath
585.	Md. Saidur Rahman,BUET_585.	Md._Saidur_Rahman
586.	J. P. Shin,BUET_586.	J._P._Shin
587.	X. Zhou,BUET_587.	X._Zhou
588.	M. Kaykobad,BUET_588.	M._Kaykobad
589.	M. Kaykobad,BUET_589.	M._Kaykobad
59.	Nabil Ibtehaz,BUET_59.	Nabil_Ibtehaz
590.	A.F.R. Rahman,BUET_590.	A.F.R._Rahman
591.	Rezaul Alam Chowdhury,BUET_591.	Rezaul_Alam_Chowdhury
592.	M. Kaykobad,BUET_592.	M._Kaykobad
593.	M.M. Murshed,BUET_593.	M.M._Murshed
594.	Md. Saidur Rahman,BUET_594.	Md._Saidur_Rahman
595.	Md. Monirul Islam,BUET_595.	Md._Monirul_Islam
596.	M. Kaykobad,BUET_596.	M._Kaykobad
597.	Md. Saidur Rahman,BUET_597.	Md._Saidur_Rahman
598.	M. Kaykobad,BUET_598.	M._Kaykobad
599.	M.M. Murshed,BUET_599.	M.M._Murshed
600.	M. Kaykobad,BUET_600.	M._Kaykobad
601.	M. Kaykobad,BUET_601.	M._Kaykobad
602.	M. Kaykobad,BUET_602.	M._Kaykobad
603.	H. S. e,BUET_603.	H._S._e
604.	M. A. Kashem,BUET_604.	M._A._Kashem
605.	M. Kaykobad,BUET_605.	M._Kaykobad
606.	M. Kaykobad,BUET_606.	M._Kaykobad
607.	Md. Saidur Rahman,BUET_607.	Md._Saidur_Rahman
608.	Md. Saidur Rahman,BUET_608.	Md._Saidur_Rahman
609.	M. Kaykobad,BUET_609.	M._Kaykobad
61.	Nayeem Muhammad Ali and Samudro Naser Anjum and Rahman M Saifur and Rahman M Sohel,BUET_61.	Nayeem_Muhammad_Ali_and_Samudro_Naser_Anjum_and_Rahman_M_Saifur_and_Rahman_M_Sohel
610.	M.H. Ahsan,BUET_610.	M.H._Ahsan
611.	M. Kaykobad,BUET_611.	M._Kaykobad
612.	M. Kaykobad,BUET_612.	M._Kaykobad
613.	M. Kaykobad,BUET_613.	M._Kaykobad
614.	M. Kaykobad,BUET_614.	M._Kaykobad
615.	M. Kaykobad,BUET_615.	M._Kaykobad
616.	V.Z. Ananina,BUET_616.	V.Z._Ananina
617.	I.P. Tarasova,BUET_617.	I.P._Tarasova
618.	Md. Mustafizur Rahman,BUET_618.	Md._Mustafizur_Rahman
619.	Mohammed Eunus Ali,BUET_619.	Mohammed_Eunus_Ali
62.	Mim Sharmin Akter,BUET_62.	Mim_Sharmin_Akter
620.	M. A. R. Azim,BUET_620.	M._A._R._Azim
621.	A. S. Islam,BUET_621.	A._S._Islam
622.	A.K.M. Ashikur Rahman,BUET_622.	A.K.M._Ashikur_Rahman
623.	A.K.M. Ashikur Rahman,BUET_623.	A.K.M._Ashikur_Rahman
624.	P. Gburzynski,BUET_624.	P._Gburzynski
625.	Md. Monirul Islam,BUET_625.	Md._Monirul_Islam
626.	S.M. Masum,BUET_626.	S.M._Masum
627.	M. Y. S. Uddin,BUET_627.	M._Y._S._Uddin
628.	Masud Hasan,BUET_628.	Masud_Hasan
629.	M. Kaykobad,BUET_629.	M._Kaykobad
63.	Abrar Mohammed Abid and Kaykobad M and Rahman M Saifur and Samee Md Abul Hassan,BUET_63.	Abrar_Mohammed_Abid_and_Kaykobad_M_and_Rahman_M_Saifur_and_Samee_Md_Abul_Hassan
630.	Tasadduq Imam,BUET_630.	Tasadduq_Imam
631.	Sarana Nutanong,BUET_631.	Sarana_Nutanong
632.	Shamima Nasrin,BUET_632.	Shamima_Nasrin
633.	Tasnim Kabir,BUET_633.	Tasnim_Kabir
634.	Raihan Kibria,BUET_634.	Raihan_Kibria
635.	Kazi Reyazul Hasan and Muhammad Abdullah Adnan,BUET_635.	Kazi_Reyazul_Hasan_and_Muhammad_Abdullah_Adnan
636.	Khondker Salman Sayeed,BUET_636.	Khondker_Salman_Sayeed
637.	Asif Shahriar,BUET_637.	Asif_Shahriar
638.	Gourab Saha,BUET_638.	Gourab_Saha
639.	Muhammad Anwarul Azim,BUET_639.	Muhammad_Anwarul_Azim
64.	Zakia Zaman,BUET_64.	Zakia_Zaman
640.	Sujoy Das,BUET_640.	Sujoy_Das
641.	Md. Nahid Hasan,BUET_641.	Md._Nahid_Hasan
642.	Mohammad,BUET_642.	Mohammad
643.	Nishat Anjum Lea,BUET_643.	Nishat_Anjum_Lea
644.	Chowdhury Mohammad Rakin Haider,BUET_644.	Chowdhury_Mohammad_Rakin_Haider
645.	Md Toki Tahmid,BUET_645.	Md_Toki_Tahmid
646.	Prottoy Saha,BUET_646.	Prottoy_Saha
647.	Abu Sayed Md Latiful Hoque,BUET_647.	Abu_Sayed_Md_Latiful_Hoque
648.	Md. Olid Bhuiyan,BUET_648.	Md._Olid_Bhuiyan
649.	Zahin Wahab,BUET_649.	Zahin_Wahab
65.	Jamalia Sultana,BUET_65.	Jamalia_Sultana
650.	Zaber Ibn Abdul Hakim,BUET_650.	Zaber_Ibn_Abdul_Hakim
651.	Israt Jahan Mouri,BUET_651.	Israt_Jahan_Mouri
652.	Md Hasebul Hasan,BUET_652.	Md_Hasebul_Hasan
653.	Minaoar Hossain,BUET_653.	Minaoar_Hossain
654.	Iftekhar E Mahbub Zeeon,BUET_654.	Iftekhar_E_Mahbub_Zeeon
655.	Nazmul Takbir,BUET_655.	Nazmul_Takbir
656.	Taseen Mubassira,BUET_656.	Taseen_Mubassira
657.	MD Anwarul Karim,BUET_657.	MD_Anwarul_Karim
658.	Tasmiah Tamzid Anannya,BUET_658.	Tasmiah_Tamzid_Anannya
659.	Ramisa Alam,BUET_659.	Ramisa_Alam
66.	Adnan Quaium,BUET_66.	Adnan_Quaium
660.	Jabunnesa Jahan Sara and Md. Shohrab Hossain,BUET_660.	Jabunnesa_Jahan_Sara_and_Md._Shohrab_Hossain
661.	Shawon Kumar Saha,BUET_661.	Shawon_Kumar_Saha
662.	Adeeba Anis and Md Shohrab Hossain,BUET_662.	Adeeba_Anis_and_Md_Shohrab_Hossain
663.	Shafayat Hossain Majumder,BUET_663.	Shafayat_Hossain_Majumder
664.	Trishna Chakraborty,BUET_664.	Trishna_Chakraborty
665.	Md. Nurul Muttakin,BUET_665.	Md._Nurul_Muttakin
666.	Junaed Younus Khan and Gias Uddin,BUET_666.	Junaed_Younus_Khan_and_Gias_Uddin
667.	Junaed Younus Khan and Gias Uddin,BUET_667.	Junaed_Younus_Khan_and_Gias_Uddin
669.	Zelin Tong,BUET_669.	Zelin_Tong
67.	A K M Mehedi Hasan,BUET_67.	A_K_M_Mehedi_Hasan
670.	Md Saiful Islam; Sangwu Lee; Abdelrahman Abdelkader; Sooyong Park; Ehsan Hoque,BUET_670.	Md_Saiful_Islam;_Sangwu_Lee;_Abdelrahman_Abdelkader;_Sooyong_Park;_Ehsan_Hoque
671.	Jamalia Sultana,BUET_671.	Jamalia_Sultana
672.	Shareef Ahmed,BUET_672.	Shareef_Ahmed
673.	Md. Abubakar Siddik and Ashikur Rahman,BUET_673.	Md._Abubakar_Siddik_and_Ashikur_Rahman
674.	Md Mehedi Hasan,BUET_674.	Md_Mehedi_Hasan
675.	Afsana Ahmed Munia,BUET_675.	Afsana_Ahmed_Munia
676.	Swapnil Dey,BUET_676.	Swapnil_Dey
677.	Md. Abubakar Siddik,BUET_677.	Md._Abubakar_Siddik
678.	G. M. Shahariar,BUET_678.	G._M._Shahariar
68.	Santa Maria Shithil and Muhammad Abdullah Adnan,BUET_68.	Santa_Maria_Shithil_and_Muhammad_Abdullah_Adnan
681.	Syed Md. Mukit Rashid,BUET_681.	Syed_Md._Mukit_Rashid
682.	Saiful Islam Salim,BUET_682.	Saiful_Islam_Salim
683.	Yeasir Rayhan,BUET_683.	Yeasir_Rayhan
684.	Md. Tareq Mahmood,BUET_684.	Md._Tareq_Mahmood
685.	Towhidul Islam,BUET_685.	Towhidul_Islam
686.	Mohaimenul Azam Khan Raiaan,BUET_686.	Mohaimenul_Azam_Khan_Raiaan
687.	Abhik Bhattacharjee,BUET_687.	Abhik_Bhattacharjee
688.	Abhik Bhattacharjee,BUET_688.	Abhik_Bhattacharjee
689.	S. M. Raihanul Alam,BUET_689.	S._M._Raihanul_Alam
69.	Navid Bin Hasan,BUET_69.	Navid_Bin_Hasan
690.	Ms. Mina,BUET_690.	Ms._Mina
691.	Israt Jahan Mouri,BUET_691.	Israt_Jahan_Mouri
692.	Chowdhury Mohammad Rakin Haider,BUET_692.	Chowdhury_Mohammad_Rakin_Haider
693.	Abdullah Al-Mamun,BUET_693.	Abdullah_Al-Mamun
694.	Navid Bin Hasan,BUET_694.	Navid_Bin_Hasan
695.	Junaed Younus Khan and Gias Uddin,BUET_695.	Junaed_Younus_Khan_and_Gias_Uddin
696.	Chengran Yang,BUET_696.	Chengran_Yang
697.	S Mahmudul Hasan,BUET_697.	S_Mahmudul_Hasan
698.	Ishrat Jahan Eliza,BUET_698.	Ishrat_Jahan_Eliza
699.	Sebastian Gehrmann,BUET_699.	Sebastian_Gehrmann
7.	Zarif Ikram,BUET_7.	Zarif_Ikram
700.	Abhik Bhattacharjee,BUET_700.	Abhik_Bhattacharjee
702.	Nazmus Sakib and Sohel Bashar and Ashikur Rahman,BUET_702.	Nazmus_Sakib_and_Sohel_Bashar_and_Ashikur_Rahman
703.	Sakhawat Hossain and Mosaddekul Islam and Ashikur Rahman,BUET_703.	Sakhawat_Hossain_and_Mosaddekul_Islam_and_Ashikur_Rahman
704.	Shashata Sawmya,BUET_704.	Shashata_Sawmya
705.	Joyanta Jyoti Mondal,BUET_705.	Joyanta_Jyoti_Mondal
706.	Md. Mubtasim Ahasan,BUET_706.	Md._Mubtasim_Ahasan
707.	Salma Hani Nova,BUET_707.	Salma_Hani_Nova
708.	Mir Md. Taosif Nur,BUET_708.	Mir_Md._Taosif_Nur
709.	Rudaiba Adnin,BUET_709.	Rudaiba_Adnin
71.	Md. Ashiqur Rahman,BUET_71.	Md._Ashiqur_Rahman
710.	Md. Atiqur Rahman,BUET_710.	Md._Atiqur_Rahman
711.	Ishita Haque,BUET_711.	Ishita_Haque
712.	Asad Ali,BUET_712.	Asad_Ali
713.	Shahriar Hassan,BUET_713.	Shahriar_Hassan
714.	Nafis Sadeq,BUET_714.	Nafis_Sadeq
715.	Khandker Aftarul Islam,BUET_715.	Khandker_Aftarul_Islam
716.	Mahjabin Nahar,BUET_716.	Mahjabin_Nahar
717.	Sazan Mahbub,BUET_717.	Sazan_Mahbub
718.	Protik Bose Pranto,BUET_718.	Protik_Bose_Pranto
719.	Sadia Sharmin,BUET_719.	Sadia_Sharmin
72.	Md. Adnanul Islam,BUET_72.	Md._Adnanul_Islam
720.	Fariha Tabassum Islam,BUET_720.	Fariha_Tabassum_Islam
721.	Shareef Ahmed,BUET_721.	Shareef_Ahmed
722.	Sabuj Laskar and Muhammad Abdullah Adnan,BUET_722.	Sabuj_Laskar_and_Muhammad_Abdullah_Adnan
723.	Tropa Mahmood and Muhammad Abdullah Adnan,BUET_723.	Tropa_Mahmood_and_Muhammad_Abdullah_Adnan
724.	Md. Tareq Mahmood,BUET_724.	Md._Tareq_Mahmood
725.	Rudaiba Adnin,BUET_725.	Rudaiba_Adnin
726.	Rudaiba Adnin,BUET_726.	Rudaiba_Adnin
727.	Zelin Tong,BUET_727.	Zelin_Tong
728.	Jamalia Sultana,BUET_728.	Jamalia_Sultana
729.	Dipannoy Das Gupta,BUET_729.	Dipannoy_Das_Gupta
73.	Heba Kurdi,BUET_73.	Heba_Kurdi
730.	Khaleda Akther Papry and Ashikur Rahman,BUET_730.	Khaleda_Akther_Papry_and_Ashikur_Rahman
731.	Sadman Sadeed Omee,BUET_731.	Sadman_Sadeed_Omee
732.	Israt Jahan Mouri,BUET_732.	Israt_Jahan_Mouri
